Label;ID
Hill, Leighton McLeod, 1907-1952;1
New Zealand. Army. 2nd NZEF. 18 Battalion;2
Stalag VIII B Lamsdorf;3
Sobieski (Ship);4
Maadi Military Camp (Egypt);5
Stalag XVIII-A (Prisoner-of-war camp);6
Talbot, Graeme Gibson, 1903-1992;7
Stalag 383 (Prisoner-of-war camp);8
Chetwin, Colin Edwin, 1912-1991;9
Stalag 344;10
Oflag VII B (Prisoner-of-war camp);11
Stalag Luft VI (Prisoner-of-war camp);12
Bergen-Belsen (Concentration camp);13
Dominion post (Newspaper);14
Aickin, Fiona McBean, 1911-2004;15
Burn, Colin Henry, 1915-2003;16
Crosland, Cyril Bythesea, 1915-2008;17
Lambert, Arthur Harold Henry, 1917-2010;18
Auschwitz (Concentration camp);19
Oflag IX-A/Z (Prisoner-of-war camp);20
Campo PG 57 (Prisoner-of-war camp);21
New Zealand. Army. Royal New Zealand Army Service Corps. 1st Division Ammunition Company;22
Stalag Luft III;23
Trentham Military Camp (N.Z.);24
